stock_line_id,warehouse,article,article_norm,name,qty_in_move,cost_rub,unit_cost_rub,source_file,source_file_id,so_t
STK-405,ДЕМИ (Основное подразделение),T-2037E,T-2037E,"Брюки женские, черные, из шелка, с отделкой черной каймой по низу",8.0,68084.16,8510.52,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-406,ДЕМИ (Основное подразделение),T-2050B/3,T-2050B/3,"Шорты женские, зеленые с принтом ""капли"", из батиста",11.0,52903.84,4809.44,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-407,ДЕМИ (Основное подразделение),T-2251A,T-2251A,"Платье женское, синее с принтом ""белые Y и девочки"", из хлопка, с разрезами по бокам",14.0,184814.0,13201.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-408,ДЕМИ (Основное подразделение),T-2251A/1,T-2251A/1,"Платье женское, белое с принтом ""черные Y и девочки"", из хлопка, с разрезами по бокам",15.0,198015.0,13201.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-409,ДЕМИ (Основное подразделение),T-2359,T-2359,"Свитшот женский, черный, из футера, с декором принт ""сердце, Yanina"", с белой обтачкой",16.0,82992.94,5187.06,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-410,ДЕМИ (Основное подразделение),T-2359A,T-2359A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с белой обтачкой",14.0,105924.93,7566.07,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-411,ДЕМИ (Основное подразделение),T-2381,T-2381,"Блуза-топ женская, черная, из шелка, на тонких бретельках",18.0,98487.66,5471.54,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-412,ДЕМИ (Основное подразделение),T-2401B/3,T-2401B/3,"Брюки женские, белые с принтом ""оранжевые ""Y"", из шелка",9.0,103671.72,11519.08,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-413,ДЕМИ (Основное подразделение),T-2401B/6,T-2401B/6,"Брюки женские, белые с принтом ""черные балерины"", из шелка, с отделкой черным кантом",7.0,89646.2,12806.6,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-414,ДЕМИ (Основное подразделение),T-2401B/7,T-2401B/7,"Брюки женские, черные с принтом ""белые балерины"", из шелка, с отделкой белым кантом",13.0,166485.8,12806.6,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-415,ДЕМИ (Основное подразделение),T-2420A/1,T-2420A/1,"Блуза женская, белая с принтом ""черные балерины"", из шелка, с отделкой черным кантом",9.0,147024.18,16336.02,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-416,ДЕМИ (Основное подразделение),T-2420A/3,T-2420A/3,"Блуза женская, белая с принтом ""оранжевые ""Y"", из шелка,  с отделкой черным кантом",5.0,77187.6,15437.52,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-417,ДЕМИ (Основное подразделение),T-2420A/7,T-2420A/7,"Блуза женская, черная с принтом ""белые балерины"", из шелка, с отделкой белым кантом",14.0,228704.28,16336.02,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
