stock_wh_id,article_raw,canonical_sku,name,warehouse,qty_end,source_file_id,source_row_id
SW-a587e92d26392037,0-2481,0-2481,"Брюки женские, белые с принтом ""черные Y и девочки"", из шёлка, с отделкой чёрным кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r2472
SW-83d36e58cc903a84,0-2481A,0-2481A,"Брюки женские, чёрные с принтом ""белые Y и девочки"", из шёлка, с отделкой белым кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r2475
SW-80cfb9e446c869b1,0-2481B,0-2481B,"Брюки женские, белые с принтом ""оранжевые Y"", из шёлка, с оранжевым кантом",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2483
SW-8ab6cdc3441c3fc9,0-2481C,0-2481C,"Брюки женские, белые с принтом ""серые Y"", из шёлка, с отделкой черным кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r2503
SW-518737a52c1378d2,0-2481D,0-2481D,"Брюки женские, белые с принтом ""оранжево-черные Y"", из батиста, с оранжевым кантом",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2506
SW-cfad1237feaa3e4e,0-2481D,0-2481D,"Брюки женские, белые с принтом ""оранжево-черные Y"", из батиста, с оранжевым кантом",Склад ИМ (Основное подразделение),3.0,FILE-098,r2506
SW-5d04109b5873a734,0-2481E,0-2481E,"Брюки женские, розовые с принтом "" цветы и грибы"" из батиста, с отделкой ""Лампас""",Склад ИМ (Основное подразделение),1.0,FILE-098,r2528
SW-2e39754ddbcb4e1a,0-2482A,0-2482A,"Брюки женские, чёрные с принтом ""белые Y"", из батиста, с отделкой ""лампас"" по низу",Подарки (Основное подразделение),1.0,FILE-098,r2537
SW-c744d6ecbda28e7d,0-2482A,0-2482A,"Брюки женские, чёрные с принтом ""белые Y"", из батиста, с отделкой ""лампас"" по низу",Склад оптовых продаж (Основное подразделение),1.0,FILE-098,r2537
SW-59cf4250ad75c872,0-2483,0-2483,"Брюки женские, чёрные с принтом ""девочки"", из шёлка, с отделкой ""лампас""",Склад ИМ (Основное подразделение),1.0,FILE-098,r2553
SW-9c09797e97512787,0-2487,0-2487,"Пальто-халат женское, белое с принтом ""оранжевые буквы Y"", из шелка, с отделкой ""лампас"", длинное",Салон (Лена М.) (Основное подразделение),2.0,FILE-098,r2566
SW-8e3ce9664e31785b,0-2487,0-2487,"Пальто-халат женское, белое с принтом ""оранжевые буквы Y"", из шелка, с отделкой ""лампас"", длинное",Склад ИМ (Основное подразделение),1.0,FILE-098,r2566
SW-b7e1797d0a83b51e,0-2487B,0-2487B,"Пальто-халат женское, черное с принтом ""девочки"", из батиста, с отделкой ""лампас"", длинное",Склад ИМ (Основное подразделение),1.0,FILE-098,r2582
SW-dcfce55cae4a3a95,0-2488,0-2488,"Брюки женские, синие с принтом ""белые Y и грибочки"", из денима",Подарки (Основное подразделение),1.0,FILE-098,r2589
SW-9ef5523858e38aa2,0-2488,0-2488,"Брюки женские, синие с принтом ""белые Y и грибочки"", из денима",Салон (Лена М.) (Основное подразделение),2.0,FILE-098,r2589
SW-19d7de720bf89626,0-2488,0-2488,"Брюки женские, синие с принтом ""белые Y и грибочки"", из денима",Склад ИМ (Основное подразделение),5.0,FILE-098,r2589
SW-22c41b4903735cc4,0-2489,0-2489,"Куртка женская, синяя, из денима с принтом Грибочки",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2612
SW-28735ed83fe4dcfa,0-2490,0-2490,"Юбка женская, синяя с принтом ""белые Y и грибочки"", из денима",Салон (Лена М.) (Основное подразделение),2.0,FILE-098,r2627
SW-58a5b4dc6f811c6d,0-2490,0-2490,"Юбка женская, синяя с принтом ""белые Y и грибочки"", из денима",Склад ИМ (Основное подразделение),4.0,FILE-098,r2627
SW-8aa4f4893f450058,0-2492,0-2492,"Платье женское, черное с 3D принтом ""Y"", из шелка, длинное",Салон (Лена М.) (Основное подразделение),3.0,FILE-098,r2651
SW-34531f3445a6618b,0-2493,0-2493,"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с широкими бретелями-завязками",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2669
SW-4e4405771b053c7b,0-2493A,0-2493A,"Платье женское, белое с принтом ""серо-черные Y"", из батиста, с широкими бретелями-завязками",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2702
SW-32e500f60e561497,0-2493A,0-2493A,"Платье женское, белое с принтом ""серо-черные Y"", из батиста, с широкими бретелями-завязками",Склад оптовых продаж (Основное подразделение),1.0,FILE-098,r2702
