sku_id,canonical_sku,article,code_1c,name,in_cost,in_sales,in_intersection,sales_revenue_rub,status
SKU-68f51c7499b375e6,0-3342,0-3342,00-00001895,"Брюки женские, черные, из костюмной ткани, прямые",Y,Y,Y,36125.0,CANDIDATE_MASTER
SKU-73237d20f20d634a,0-3342A,0-3342A,00-00001893,"Брюки женские, серые в полоску, из костюмной ткани, прямые",Y,N,N,,CANDIDATE_MASTER
SKU-ecf2bd7b21201515,0-3344,0-3344,00-00001888,"Платье женское, черное с принтом ""белые Y и балерины"", из шелка, со складками ""плиссе""",Y,Y,Y,100300.0,CANDIDATE_MASTER
SKU-224f1ae8230f4863,0-3346,0-3346,00-00001900,"Платье женское, черное, из стрейч-бархата, двубортное, с поясом",Y,Y,Y,273000.0,CANDIDATE_MASTER
SKU-611f99133120047b,0-3347,0-3347,00-00001897,"Жакет женский, черный, из стрейч-бархата, с вышивкой ""Y"" на карманах и поясом",Y,Y,Y,532875.0,CANDIDATE_MASTER
SKU-ff40f141dd9abb0b,0-3348,0-3348,00-00001894,"Брюки-палаццо женские, черные, из стрейч-бархата, с широким поясом",Y,Y,Y,195750.0,CANDIDATE_MASTER
SKU-e7d3407e5ebbf18a,0-3349,0-3349,00-00001874,"Брюки женские, черные, из крепа, широкие, со складками по талии",Y,Y,Y,82450.0,CANDIDATE_MASTER
SKU-7233d338400adec8,0-3349A,0-3349A,00-00001905,"Брюки женские, белые, из крепа, широкие, со складками по талии",N,Y,N,102000.0,CANDIDATE_MASTER
SKU-0f8ec60f1097c056,0-3350,0-3350,00-00001879,"Жакет женский, белый, из костюмной ткани ""шанель"", с черно-белой тесьмой и накладными карманами",N,Y,N,252000.0,CANDIDATE_MASTER
SKU-735ed2693c1da87e,0-3351,0-3351,00-00001876,"Рубашка женская, белая, из хлопка, удлиненная со складками и вышивкой ""Yanina""",Y,N,N,,CANDIDATE_MASTER
SKU-0893fea191950305,0-3352,0-3352,00-00001877,"Юбка женская, черная, из вискозы, расклешенная к низу",Y,Y,Y,127500.0,CANDIDATE_MASTER
SKU-ba1a9c26e694e9f5,0-3353,0-3353,00-00001878,"Жакет женский, черный, из вискозы, со съемным белым воротником",Y,N,N,,CANDIDATE_MASTER
SKU-d0bd9352b1eee9a4,0-3355,0-3355,00-00001898,"Блуза женская, белая с принтом ""черные листья"", из шифона, с объемными рукавами",Y,Y,Y,276250.0,CANDIDATE_MASTER
SKU-f045173fd80aab98,0-3355A,0-3355A,00-00001909,"Блуза женская, серая с принтом ""розовые листья"", из шифона, с объемными рукавами",Y,Y,Y,55250.0,CANDIDATE_MASTER
SKU-dfef4ab993ccf680,0-3356,0-3356,00-00001887,"Платье женское, черное с принтом ""белые листья"", из шелка, с объемными рукавами на резинке",Y,Y,Y,81600.0,CANDIDATE_MASTER
SKU-961682d94a761453,0-3357,0-3357,00-00001906,"Пальто женское, серое, из хлопка, удлиненное, свободного силуэта",Y,Y,Y,80750.0,CANDIDATE_MASTER
SKU-eb977ecad82a94ef,0-3357A,0-3357A,00-00001919,"Пальто женское, черное, из костюмной ткани, удлиненное, свободного силуэта",Y,N,N,,CANDIDATE_MASTER
SKU-92bbedb9fb8aeb56,0-3358,0-3358,00-00001899,"Блуза женская, черная, из крепового шифона, с кокеткой из сетки с камнями",Y,N,N,,CANDIDATE_MASTER
SKU-467f8ac8cbe15bab,0-3362,0-3362,00-00001875,"Блуза-топ женская, белая, из эко шелка, с вытачками",Y,Y,Y,39950.0,CANDIDATE_MASTER
SKU-d595e4837077c714,0-3363,0-3363,00-00001890,"Блуза-топ женская, черная, из эко-шелка, на тонких бретелях",Y,N,N,,CANDIDATE_MASTER
SKU-37b20fdc310db57e,0-3363A,0-3363A,00-00001891,"Блуза-топ женская, белая, из эко-шелка, на тонких бретелях",Y,Y,Y,11200.0,CANDIDATE_MASTER
SKU-7a5d89f6916c2876,0-3364,0-3364,00-00001903,"Брошь серая, из рафия, ""колосок""",Y,Y,Y,32640.0,CANDIDATE_MASTER
SKU-37fefe16b87e69ff,0-3364A,0-3364A,00-00001902,"Брошь бежевая, из рафия, ""колосок""",N,Y,N,21760.0,CANDIDATE_MASTER
SKU-88e0d4116a2bcda3,0-3364B,0-3364B,00-00001910,"Брошь черная, из рафия, ""колосок""",N,Y,N,33665.0,CANDIDATE_MASTER
SKU-05f856fa958b87ae,0-3421,0-3421,00-00001913,"Пояс женский, черный, из стрейч бархата, с декором кисточка",Y,N,N,,CANDIDATE_MASTER
SKU-0ee38cd3321066fc,0-3422,0-3422,00-00001914,"Пояс женский, черный, из стрейч бархата, с декором бахрома",Y,N,N,,CANDIDATE_MASTER
SKU-9b74753ac04d29ee,0-3430,0-3430,00-00001917,"Ободок черный, на металлической основе, декорирован бантом и сеткой",N,Y,N,29750.0,CANDIDATE_MASTER
SKU-99f85902794170d0,0-3432,0-3432,00-00001918,"Свитшот женский, голубой, из футера",Y,N,N,,CANDIDATE_MASTER
SKU-77ba2d26fa78a364,0-37,0-37,00-00000363,"Блуза женская, желтая, из тафты, с расшивкой бисером",N,N,N,,CANDIDATE_MASTER
SKU-b5b70dea90c8098e,0-435A,0-435А,00-00000744,"Блуза-парео женская, черная с принтом ""многоцветные разводы"", из батиста",N,Y,N,20000.0,CANDIDATE_MASTER
SKU-08d462c50343e37e,0-482,0-482,00-00000687,"Платье женское, белое в полоску, из хлопка, декорировано воротником в морском стиле",N,N,N,,CANDIDATE_MASTER
SKU-6028ecf4c8f33634,0-4A,0-4А,00-00000350,"Юбка женская, черная, из бархата",N,N,N,,CANDIDATE_MASTER
SKU-6a0388886ba6d4a5,0-504,0-504,00-00000382,"Юбка женская, синяя, из шерсти, с декоративной баской",N,N,N,,CANDIDATE_MASTER
SKU-379b0a832b80cc81,0-602,0-602,00-00000346,"Пальто женское, красное, из твида, прямого силуэта",N,N,N,,CANDIDATE_MASTER
SKU-4cc29b4c21f2bdb2,0-626,0-626,00-00000352,"Платье женское, красное, из твида, без рукавов",N,N,N,,CANDIDATE_MASTER
SKU-8bc86b6b76219890,0-725,0-725,00-00000403,"Платье женское, коричневое, из шерсти, декорировано белыми манжетами",N,N,N,,CANDIDATE_MASTER
SKU-73756669ef9a6a6c,0-764,0-764,00-00000101,"Платье женское, черное, из крепа, отрезное по линии талии",N,N,N,,CANDIDATE_MASTER
SKU-e2a611f444446f45,0-771,0-771,00-00000370,"Платье женское, красное, из шерстяного крепа,декорировано деталью ""кокилье""по юбке",N,N,N,,CANDIDATE_MASTER
SKU-70b643e8acec16f9,0-783,0-783,00-00000436,"Платье женское, черное, из шерстяного крепа, с рукавом в стиле ""баллон""",N,N,N,,CANDIDATE_MASTER
SKU-7f18249a64b638d2,0-799,0-799,00-00000387,"Платье женское, коричневое, из шерсти с вышивкой ""ришелье""",N,N,N,,CANDIDATE_MASTER
SKU-2971d688526a76aa,0-804,0-804,00-00000212,"Платье женское, терракотовое с рисунком, из хлопка, без рукавов",N,N,N,,CANDIDATE_MASTER
SKU-c329ea15988ec28a,0-807,0-807,00-00000393,"Платье женское, желтое с цветным рисунком из шелковой ткани прямого силуэта",N,N,N,,CANDIDATE_MASTER
SKU-152004406ede6687,0-811A,0-811 А,00-00000254,"Платье женское, белое в горох, из хлопка, декорировано кружевной тесьмой",N,N,N,,CANDIDATE_MASTER
SKU-1aae213a6d29c6a2,0-878,0-878,00-00000684,"Рубашка женская, голубая в полоску, из хлопка, 4 накладных кармана",N,N,N,,CANDIDATE_MASTER
SKU-896995916afe209f,0-878,0-878,00-00000221,"Рубашка женская, голубая с рисунком, из хлопка, свободного силуэта",N,N,N,,CANDIDATE_MASTER
SKU-3b819b6c55dcb7f1,0-878A,0-878А,00-00000426,"Рубашка женская, белая в черную полоску,из хлопка, классическая",N,N,N,,CANDIDATE_MASTER
SKU-5f4d1cdee65b8c09,0-885,0-885,00-00000243,"Юбка-шорты женская, синяя, из хлопка, с мягкими складками",N,N,N,,CANDIDATE_MASTER
SKU-9fbed1924aee54f1,0-963,0-963,00-00000088,"Митенки-перчатки без пальцев, черные, из стрейч бархата, Basic",Y,N,N,,CANDIDATE_MASTER
SKU-0aae2339d48895f0,0-969,0-969,00-00001405,"Платье женское, зеленое, из шелка, с расшивкой пайетками по лифу",N,N,N,,CANDIDATE_MASTER
SKU-5f65b80bb3b811bb,0-993B,0-993В,00-00000739,"Платье женское, черное с принтом ""капли"", из батиста, без рукавов, короткое",N,N,N,,CANDIDATE_MASTER
SKU-d7d930c7fc8d6d53,0-999,0-999,00-00000218,"Куртка-""бомбер"" женская, темно-бежевая, из хлопка, с декором ""Цветы"" на рукавах",N,N,N,,CANDIDATE_MASTER
SKU-f42b2d6ff2673a43,0-Б/A,0-б/а,00-00001880,"Юбка женская, серая, из костюмной ткани, с вышивкой из паеток",N,N,N,,CANDIDATE_MASTER
